model_id,item_id,model_name
HP 88A,CAR,HP Laserjet Pro 1007/m202dw
HP12A,CAR,HP Laserjet Pro 1020/1022/3050
HP 36A,CAR,HP Laserjet Pro 1505
HP 30,CAR,HP Laserjet Pro n203d
CAN 057,CAR,Imageclass LBP 226dw
CAN 071,CAR,Imageclass MF 274dn
CAN 072,CAR,Imageclass LBP172dw
BRO 2365,CAR,Brother HL-L2361dn
HP 131A[C],CAR,HP Color LaserJet Pro m251n
HP 131A[M],CAR,HP Color LaserJet Pro m251n
HP 131A[B],CAR,HP Color LaserJet Pro m251n
HP 131A[Y],CAR,HP Color LaserJet Pro m251n
HP 32A,DR,HP LaserJet Pro n203d
LPG 59,DR,Canon 2006
BR 2365,DR,Imageclass MF 274dn
LIPI 6810L,CAR,Lipi Line Matrix Printer 6810L
AA,BAT,Mouse Battery
AAA,BAT,Keyboard Battery
